id,zoneClim,moi,>=alt,<alt,inertieLourde,DH19,Nref19,E,Text,Tefs
221,H1c,5,800,*,non,"4637,2",632,"81,59","12,6","10,1"
222,H1c,6,800,*,non,"2989,4",429,"53,86","12,3","11,7"
223,H1c,7,800,*,non,0,0,0,0,"14,2"
224,H1c,8,800,*,non,0,0,0,0,"14,8"
225,H1c,9,800,*,non,3576,566,"91,65","13,8",14
226,H1c,10,800,*,non,"6634,5",697,"66,87","9,5","11,8"
227,H1c,11,800,*,non,"10593,5",720,"45,76","3,6","7,3"
228,H1c,12,800,*,non,"13860,4",744,"33,59","-0,8","3,3"
229,H2a,1,800,*,non,0,0,0,0,0
230,H2a,2,800,*,non,0,0,0,0,0
231,H2a,3,800,*,non,0,0,0,0,0
232,H2a,4,800,*,non,0,0,0,0,0
233,H2a,5,800,*,non,0,0,0,0,0
234,H2a,6,800,*,non,0,0,0,0,0
235,H2a,7,800,*,non,0,0,0,0,0
236,H2a,8,800,*,non,0,0,0,0,0
237,H2a,9,800,*,non,0,0,0,0,0
238,H2a,10,800,*,non,0,0,0,0,0
239,H2a,11,800,*,non,0,0,0,0,0
240,H2a,12,800,*,non,0,0,0,0,0
241,H2b,1,800,*,non,0,0,0,0,0
242,H2b,2,800,*,non,0,0,0,0,0
243,H2b,3,800,*,non,0,0,0,0,0
244,H2b,4,800,*,non,0,0,0,0,0
245,H2b,5,800,*,non,0,0,0,0,0
246,H2b,6,800,*,non,0,0,0,0,0
247,H2b,7,800,*,non,0,0,0,0,0
248,H2b,8,800,*,non,0,0,0,0,0
249,H2b,9,800,*,non,0,0,0,0,0
250,H2b,10,800,*,non,0,0,0,0,0
251,H2b,11,800,*,non,0,0,0,0,0
252,H2b,12,800,*,non,0,0,0,0,0
253,H2c,1,800,*,non,"12788,8",744,"40,4","1,1","5,8"
254,H2c,2,800,*,non,10569,672,"63,77","2,6","5,5"
255,H2c,3,800,*,non,"9385,1",744,"110,02","5,7","6,2"
256,H2c,4,800,*,non,"7623,4",721,"86,61","7,8","7,3"
257,H2c,5,800,*,non,"4719,7",663,"95,01","12,4","10,9"
258,H2c,6,800,*,non,"1577,8",274,"34,59","13,9","13,5"
259,H2c,7,800,*,non,0,0,0,0,"15,8"
260,H2c,8,800,*,non,0,0,0,0,"15,8"
261,H2c,9,800,*,non,"2611,9",338,"57,18","11,4","15,7"
262,H2c,10,800,*,non,"5232,2",676,"72,63","11,7","13,7"
263,H2c,11,800,*,non,9558,720,"63,3","5,1",10
264,H2c,12,800,*,non,"12511,9",744,"38,16",1,"5,8"
265,H2d,1,800,*,non,"13007,7",744,"98,24","0,9","4,6"
266,H2d,2,800,*,non,"11601,2",672,"100,73","1,1","4,5"
267,H2d,3,800,*,non,"9710,8",737,"116,26","5,3","5,4"
268,H2d,4,800,*,non,"6609,3",680,"104,57","9,4","8,9"
269,H2d,5,800,*,non,"4682,4",635,"92,56","12,3","12,7"
270,H2d,6,800,*,non,0,0,0,0,14
271,H2d,7,800,*,non,0,0,0,0,"19,6"
272,H2d,8,800,*,non,0,0,0,0,"16,9"
273,H2d,9,800,*,non,"1345,3",217,"41,82","14,1","18,9"
274,H2d,10,800,*,non,"4795,3",619,"73,86","10,8","14,4"
275,H2d,11,800,*,non,"9658,1",718,"87,35","4,9","10,1"
276,H2d,12,800,*,non,"20887,4",744,"85,07",1,"5,4"
277,H3,1,800,*,non,"12240,6",744,"92,47","1,9","4,4"
278,H3,2,800,*,non,"8719,2",672,"91,37","5,4","7,7"
279,H3,3,800,*,non,"9039,1",744,"109,83","6,2","7,4"
280,H3,4,800,*,non,6188,721,"115,14","9,8",8
281,H3,5,800,*,non,"3085,5",592,"105,38",15,"13,2"
282,H3,6,800,*,non,"912,6",195,"31,31","15,2","16,7"
283,H3,7,800,*,non,0,0,0,0,"17,4"
284,H3,8,800,*,non,0,0,0,0,"21,4"
285,H3,9,800,*,non,0,0,0,0,16
286,H3,10,800,*,non,4431,702,"100,47","12,6","15,8"
287,H3,11,800,*,non,8871,720,"85,22",6,"10,7"
288,H3,12,800,*,non,"10630,7",744,75,"3,6","8,1"
289,H1a,1,0,400,oui,"11712,4",744,"38,36","2,6","7,8"
290,H1a,2,0,400,oui,"9966,8",672,"37,47","3,5","5,5"
291,H1a,3,0,400,oui,"7922,7",738,"77,61","7,7","6,9"
292,H1a,4,0,400,oui,"5877,4",695,"86,79","10,3","9,1"
293,H1a,5,0,400,oui,"1069,9",172,"19,19","12,8","11,4"
294,H1a,6,0,400,oui,0,0,0,0,"15,1"
295,H1a,7,0,400,oui,0,0,0,0,"16,1"
296,H1a,8,0,400,oui,0,0,0,0,"17,8"
297,H1a,9,0,400,oui,"740,6",119,"16,11","12,3","15,9"
298,H1a,10,0,400,oui,"3645,4",644,"61,45","13,8","14,7"
299,H1a,11,0,400,oui,6861,715,"43,04","8,8","12,5"
300,H1a,12,0,400,oui,"9573,3",744,"34,26",5,"9,2"
301,H1b,1,0,400,oui,"10180,7",744,"31,13","4,7","6,9"
302,H1b,2,0,400,oui,"8874,7",672,"45,92","5,2","6,1"
303,H1b,3,0,400,oui,"8207,7",737,"61,88","7,3","6,4"
304,H1b,4,0,400,oui,"5914,4",664,"79,71","10,3","7,6"
305,H1b,5,0,400,oui,"2174,8",310,"48,02",14,"11,3"
306,H1b,6,0,400,oui,0,0,0,0,"14,9"
307,H1b,7,0,400,oui,0,0,0,0,"16,9"
308,H1b,8,0,400,oui,0,0,0,0,"17,3"
309,H1b,9,0,400,oui,0,0,0,0,"16,8"
310,H1b,10,0,400,oui,"3218,1",434,"52,89","12,4","14,6"
311,H1b,11,0,400,oui,"8473,8",720,"33,95","6,6","10,5"
312,H1b,12,0,400,oui,"10452,5",744,"37,72","3,8","7,9"
313,H1c,1,0,400,oui,"10855,3",741,"47,86","3,8","6,1"
314,H1c,2,0,400,oui,"9690,3",672,"55,9","3,9","4,4"
315,H1c,3,0,400,oui,"7369,8",730,"91,2","8,5","8,5"
316,H1c,4,0,400,oui,"5072,2",640,"86,83","11,6",9
317,H1c,5,0,400,oui,"1543,9",324,"41,69","15,5","14,1"
318,H1c,6,0,400,oui,0,0,0,0,"15,7"
319,H1c,7,0,400,oui,0,0,0,0,"18,2"
320,H1c,8,0,400,oui,0,0,0,0,"18,8"
321,H1c,9,0,400,oui,0,0,0,0,18
322,H1c,10,0,400,oui,"1865,2",144,"13,39","5,5","15,8"
323,H1c,11,0,400,oui,7720,717,"45,76","7,6","11,3"
324,H1c,12,0,400,oui,"10884,4",744,"33,59","3,2","7,3"
325,H2a,1,0,400,oui,"9307,3",744,"39,47","5,8","8,9"
326,H2a,2,0,400,oui,"9402,9",672,"61,19","4,4","7,2"
327,H2a,3,0,400,oui,"7252,2",727,"95,11","8,6","8,2"
328,H2a,4,0,400,oui,"5896,3",698,"84,18","10,2","9,6"
329,H2a,5,0,400,oui,3070,519,"71,22","13,5","11,1"
330,H2a,6,0,400,oui,0,0,0,0,"16,3"
331,H2a,7,0,400,oui,0,0,0,0,"18,7"
332,H2a,8,0,400,oui,0,0,0,0,"17,1"
333,H2a,9,0,400,oui,0,0,0,0,"18,2"
334,H2a,10,0,400,oui,"4227,7",656,"59,63","12,4","15,9"
335,H2a,11,0,400,oui,6404,720,"63,38","9,4","13,3"
336,H2a,12,0,400,oui,"8679,6",744,"41,26","6,2","10,5"
337,H2b,1,0,400,oui,"9119,8",744,"32,4","6,1",9
338,H2b,2,0,400,oui,"9503,7",672,"59,81","4,2","6,8"
339,H2b,3,0,400,oui,7178,737,"73,5","8,7","8,7"
340,H2b,4,0,400,oui,"5583,5",677,"89,72","10,7","9,6"
341,H2b,5,0,400,oui,"3027,1",502,"62,9","13,4","12,9"
